"","ko","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"263","ko04520",36,43,88,51,52,50,79,156,181,135,164,77,52,61,57,73
"264","ko00903",25104,22433,33249,27422,22629,34818,60476,49603,62238,57922,57707,47378,40540,50044,36464,37188
"265","ko00471",40347,37947,34314,45448,37171,34169,31671,27522,29162,30665,30887,47117,39456,44651,39809,40561
"266","ko00472",1878,1607,1808,1710,968,2148,3653,3289,3642,3787,3758,4083,3520,3660,3726,3314
"267","ko00473",32106,29014,25344,35108,27191,25964,22264,19763,20975,21919,21089,38649,31874,35487,35052,33245
"268","ko05111",26352,24567,22160,27848,19229,23078,30957,27655,27719,30042,30809,31119,26155,28281,27677,25031
"269","ko04510",599,713,474,687,531,396,1257,1112,1225,1322,1324,2574,2343,2301,1925,2100
"270","ko04810",498,680,459,584,485,408,1050,928,1000,1032,1114,2161,2059,1942,1689,1740
"271","ko04210",3329,3358,4037,3893,1632,4024,8849,8459,9034,9893,9494,6008,5193,6457,6114,5462
"272","ko00240",547860,501250,478586,586067,564397,511315,411220,356241,376441,383260,375240,620462,525130,585356,537788,536456
"273","ko04012",56,65,90,131,65,65,116,198,172,187,208,140,94,111,110,240
"274","ko04013",8,23,14,19,3,11,56,61,58,76,94,25,13,5,2,4
"275","ko04010",493,478,535,664,349,301,649,763,807,767,799,659,675,740,709,701
"276","ko04011",3003,2749,4355,3654,3098,4869,7528,6598,7627,7465,7396,4940,4478,5056,3951,4323
"277","ko00944",1846,1715,1527,1728,1551,1876,1154,1070,1061,1152,778,1963,1767,2146,1912,1872
"278","ko04113",38992,35664,28731,44043,19631,27220,43776,37242,43980,42967,42839,44075,37961,47045,39588,37585
"279","ko04070",15792,15068,14260,17322,15742,16847,17681,15346,16947,16607,16660,19974,16954,19104,16562,16765
"280","ko04640",701,703,488,820,254,352,908,757,872,798,678,739,701,999,708,628
"281","ko04310",393,442,485,568,212,422,816,655,793,684,701,571,505,730,562,619
"282","ko03420",228636,210346,202497,249086,215361,212504,183555,151513,170001,170470,169914,256467,218339,244457,222690,223058
"283","ko00770",97049,87907,92284,101113,101922,85625,111981,94878,104372,105350,104204,130809,112014,126409,113460,110777
"284","ko02040",91355,84373,75391,79609,137711,135125,81276,67101,62508,67158,72644,66036,55450,56476,65123,52077
"285","ko04912",800,616,534,707,298,379,1176,914,947,895,1074,751,653,902,788,698
"286","ko00670",129226,120273,114586,137698,128297,123091,110258,95423,102216,104269,102624,160671,136596,153416,138759,138231
"287","ko04150",675,647,535,855,605,328,227,308,322,333,331,904,856,785,594,730
"288","ko04672",26,13,14,10,13,8,30,23,19,31,36,18,28,26,20,6
"289","ko04920",43097,36934,36837,40510,39000,40037,53196,45016,50158,52028,52087,70340,58360,64215,66974,58256
"290","ko05160",742,740,311,623,703,183,120,172,181,181,157,664,582,575,557,642
"291","ko04144",1419,1377,1602,1723,878,1518,1992,1646,1710,1695,1770,1992,1343,1727,1245,1499
"292","ko00930",22767,20280,29880,25546,20593,31427,53459,43961,55773,50887,49849,40908,35196,44714,31037,31919
"293","ko04112",230275,210824,181857,233495,201631,194773,162676,139194,146354,148454,147289,267134,226529,244554,241729,227019
"294","ko04720",455,532,280,656,471,241,161,283,247,211,270,353,329,548,463,509
"295","ko04722",156,172,181,236,115,143,159,250,279,251,241,186,164,155,132,128
"296","ko04075",457,318,668,296,320,506,1432,1269,1228,1363,1494,1087,940,971,1060,923
"297","ko04060",0,0,0,0,0,0,16,17,19,20,27,19,14,16,15,4
"298","ko00905",0,0,0,0,0,0,33,13,16,4,7,12,13,25,13,11
"299","ko05320",0,0,0,0,0,0,6,8,11,14,12,15,4,10,8,2
"300","ko01058",0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
"301","ko00351",0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0
"302","ko00966",0,0,0,0,0,0,0,0,0,0,0,20,27,29,24,7
