"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1846","K02469",34012,30524,28642,35978,31316,31772,23669,20052,21624,21018,21019,36054,31679,34050,30564,31804
"1847","K02470",25314,22721,23770,27009,26557,26231,22312,18830,20142,19691,19723,27759,24039,27487,24813,25114
"1848","K02471",1244,1133,2114,1395,1235,2169,3744,3582,3957,3663,3187,2226,1946,2658,1672,1647
"1849","K02472",6257,6158,3763,6755,3316,1838,1324,926,1131,1137,1202,8201,6769,7540,7792,7564
"1850","K02473",651,603,619,656,696,514,1080,1041,874,954,963,1330,1278,1419,1393,1353
"1851","K02474",2564,2444,2458,2743,2780,1989,3732,3152,2621,2946,3075,3592,3120,3460,3746,3449
"1852","K02475",119,120,128,165,155,237,203,174,283,194,160,181,167,215,120,155
"1853","K02476",336,315,323,372,385,506,605,494,563,520,462,498,441,603,365,438
"1854","K02477",1544,1551,3118,1726,2786,3035,7274,7078,6615,8155,7836,6781,5315,6458,5946,6294
"1855","K02478",784,758,1632,860,923,2634,4045,4152,4269,4974,4917,3374,2952,3925,3161,3483
"1856","K02479",1858,1563,2029,1867,1983,1749,4419,3857,4629,4810,4628,2740,2305,2876,2289,2177
"1857","K02480",2604,2463,3095,2886,3304,2301,5433,4499,5653,5096,5462,4920,4472,5533,4522,4624
"1858","K02481",3993,3307,2692,3513,1560,2824,6841,5563,5720,7158,7570,9452,7521,8177,9448,7470
"1859","K02482",19297,17265,10126,20320,9732,8256,10675,9912,9838,11339,12031,16741,13493,14210,15564,13370
"1860","K02483",8080,7099,9446,7945,7447,8537,16612,14474,15552,14969,15777,10647,9428,11082,8845,8987
"1861","K02484",9982,9288,10082,10616,8006,8369,14993,12322,13760,13074,12214,9521,8276,9595,7269,7610
"1862","K02485",5173,5760,1944,5688,5439,1543,2842,2397,2534,2627,2415,3878,3178,3420,3798,3154
"1863","K02486",11105,12973,4068,11832,14183,3876,4103,3591,3668,3792,4385,6503,5084,5624,6789,4988
"1864","K02487",594,597,2284,596,865,2590,5216,5386,4837,5231,5589,932,728,823,918,550
"1865","K02488",13604,13209,10318,12912,16961,9277,10171,8925,9297,8920,9389,16733,13632,14363,14946,12583
"1866","K02490",2280,1806,599,2413,1765,552,518,394,419,433,383,2020,1701,2193,2133,1947
"1867","K02491",3030,2851,971,3077,2187,602,1586,1422,1708,1770,1527,5028,3998,4442,4732,3963
"1868","K02492",3132,3016,3711,3198,3315,3266,5954,4937,5077,5417,5387,4787,4181,4518,4474,4175
"1869","K02493",9980,9283,8824,11124,9830,8723,8396,7411,8220,7907,8037,11429,9650,11389,10303,10196
"1870","K02494",74,87,412,87,146,347,791,930,738,963,929,108,70,101,103,48
"1871","K02495",3974,3556,4102,4003,4213,3780,4642,4252,4067,4594,4313,3278,2982,3497,3102,3121
"1872","K02496",133,151,596,214,289,812,1380,1389,1218,1356,1403,201,148,239,149,111
"1873","K02497",62,55,102,102,60,54,311,127,195,183,223,110,73,112,137,81
"1874","K02498",292,309,870,382,391,1018,2193,2201,2390,2246,2502,668,571,712,530,557
"1875","K02499",6728,5855,4425,7049,4615,4643,1326,1003,1134,1025,1038,5996,5208,5339,5020,5199
"1876","K02500",4693,4217,4336,4512,5670,5163,5821,4780,5281,5088,4940,6512,5577,6387,6242,5602
"1877","K02501",2671,2480,2962,2537,3442,4057,4524,3832,3968,3954,4048,3503,2932,3289,3272,2894
"1878","K02502",2064,1585,2322,1804,4110,4213,3418,3164,3267,3226,3172,1881,1665,1964,1438,1594
"1879","K02503",5557,5155,4718,6052,4536,4240,4313,3858,4174,4183,3921,5785,4965,5815,5173,5385
"1880","K02504",0,2,0,0,0,10,11,20,9,22,17,3,7,4,9,2
"1881","K02505",2,3,22,6,4,12,5,11,9,7,16,53,81,200,150,140
"1882","K02507",6,11,55,37,40,24,103,174,31,54,35,21,3,10,3,10
"1883","K02508",6,5,70,2,10,106,98,81,39,101,70,59,65,84,125,102
"1884","K02509",196,133,374,169,228,457,815,762,906,945,993,349,260,343,297,260
"1885","K02510",1782,1643,2206,2206,1918,1894,3574,3297,4252,4156,3773,2433,2386,2884,2199,2029
"1886","K02511",10,12,5,14,6,8,15,27,23,22,27,155,97,76,228,89
"1887","K02515",4,2,14,2,2,2,1,12,5,2,9,0,0,0,0,0
"1888","K02516",3,2,0,14,6,0,0,0,0,0,0,39,24,33,15,21
"1889","K02517",4639,4630,4396,5557,4284,3360,5404,5507,4947,5646,5215,8007,6753,7388,7632,6821
"1890","K02518",3436,3158,3265,3771,3168,3286,2889,2495,2437,2601,2591,3929,3240,3621,3349,3425
